Symbol,Rank,Score,3M Return,6M Return
CUPID,1,2.9024791804412495,1.3446705987976317,2.3494502758992657
WELCORP,2,2.4840116339137217,0.4781177761050104,1.382870659794785
LAURUSLABS,3,2.4451420746288286,0.37278679164870976,0.7580742672522893
DIACABS,4,2.427400813717074,0.9080387135080132,1.6397404696119526
SHILPAMED,5,2.3536688442350453,0.7003359753275449,1.4625913694281052
RUBICON,6,2.3206217290334656,0.8112766008535404,1.2739848607332651
STLTECH,7,2.3068505594761164,0.5359090053909568,3.0878121532613063
ANANDRATHI,8,2.250771613153069,0.2272283064115439,0.4617050423103213
SANSERA,9,2.2417440568262976,0.6703865840517242,0.7748367850982381
HFCL,10,2.2322117878430867,0.6392726858832665,2.103266061147027
SONACOMS,11,2.173502615963199,0.453423772540146,0.5511294050480215
RRKABEL,12,2.1222000489183634,0.4302608632717295,0.9634965218559783
RADICO,13,2.075200102197803,0.3596095571161291,0.6930010400621405
UTLSOLAR,14,2.067681117711156,0.7510909557033656,1.1320335659512604
ATHERENERG,15,2.011120293399639,0.6091613815567958,1.0108442339245882
PARAS,16,1.9740224163844886,1.0540650580353188,1.3811973662198684
BLUESTONE,17,1.9681058462889882,0.7694959129982133,0.9575786760389668
SKYGOLD,18,1.9616652158914334,0.7877725803516877,1.0903805834002922
QUESS,19,1.9216587355997432,0.7108096894116258,0.6652240416816149
AVALON,20,1.804111040207419,0.6350796525009492,1.040653780946458
AETHER,21,1.7863709760116238,0.47035609734573436,0.6531868588030783
SYRMA,22,1.784665634265607,0.5467116401693133,0.7279808878967586
AKUMS,23,1.7493419531314909,0.44421873523318434,0.5386546168647575
DIVISLAB,24,1.7423592216437027,0.25959864117688536,0.3701529991198338
HONASA,25,1.7363803028288556,0.361952585191583,0.5733951520533587
ALIVUS,26,1.7253893340410889,0.3180137970794277,0.5469915050410519
LENSKART,27,1.7141536984943173,0.31328086552657486,0.28600802787675783
CPPLUS,28,1.7118202854447444,0.3740876190853448,1.1187210734349895
NEULANDLAB,29,1.6986398703055807,0.4297213561811186,0.7138811500657416
ASTRAMICRO,30,1.6916280665188632,0.608719719049639,0.9111620535876852
VARROC,31,1.6667331223084292,0.5390152259479581,0.49073866798100196
KTKBANK,32,1.6549628551602216,0.2812435086530558,0.5110970247325617
SAILIFE,33,1.653266936349988,0.2885893541526281,0.5226668584747756
SUDEEPPHRM,34,1.6473446740786675,0.6966412318986346,0.6304682604412946
RBA,35,1.6403851190349064,0.5411573850422982,0.6396678781104155
AEGISLOG,36,1.6096956985165147,0.9726978296343567,0.952911111223282
EMIL,37,1.6067964879576255,0.626532700114389,0.8572679349190753
