Symbol,MarketCap,AsOf,Source
BERGEPAINT,548954123889.6,2026-09-09,pr_live_zip
BHARATFORG,946424255907.2,2026-09-09,pr_live_zip
BHARTIARTL,11057474098144.8,2026-09-09,pr_live_zip
BHARTIHEXA,772400000000.0,2026-09-09,pr_live_zip
BHEL,1510170877063.5,2026-09-09,pr_live_zip
BIKAJI,143345999880.0,2026-09-09,pr_live_zip
BIOCON,640258570335.0,2026-09-09,pr_live_zip
BIRLACORPN,64445774904.3,2026-09-09,pr_live_zip
BLACKBUCK,105614113040.1,2026-09-09,pr_live_zip
BLS,97356137696.6,2026-09-09,pr_live_zip
BLUEDART,116940749925.6,2026-09-09,pr_live_zip
BLUEJET,108890310785.3,2026-09-09,pr_live_zip
BLUESTARCO,299560184637.2,2026-09-09,pr_live_zip
BLUESTONE,133260117306.4,2026-09-09,pr_live_zip
BORORENEW,70415143706.85,2026-09-09,pr_live_zip
BOSCHLTD,1448137724000.0,2026-09-09,pr_live_zip
BPCL,1316953340882.4,2026-09-09,pr_live_zip
BRIGADE,216213041702.0,2026-09-09,pr_live_zip
BRITANNIA,1226019626640.0,2026-09-09,pr_live_zip
BSE,1341857036514.6,2026-09-09,pr_live_zip
BSOFT,77479143033.6,2026-09-09,pr_live_zip
CAMPUS,65672763865.55,2026-09-09,pr_live_zip
CAMS,177308916070.0,2026-09-09,pr_live_zip
CANBK,1125486408340.8,2026-09-09,pr_live_zip
CANFINHOME,104779347657.9,2026-09-09,pr_live_zip
CANHLIFE,142015500000.0,2026-09-09,pr_live_zip
CAPILLARY,36580953774.9,2026-09-09,pr_live_zip
CAPLIPOINT,206987449377.6,2026-09-09,pr_live_zip
CARBORUNIV,208418940538.2,2026-09-09,pr_live_zip
CARTRADE,145370529248.5,2026-09-09,pr_live_zip
CASTROLIND,187102390157.45,2026-09-09,pr_live_zip
CCAVENUE,53753617365.5,2026-09-09,pr_live_zip
CCL,147508293224.0,2026-09-09,pr_live_zip
CDSL,286037400000.0,2026-09-09,pr_live_zip
CEATLTD,133210242974.4,2026-09-09,pr_live_zip
CELLO,74526610471.6,2026-09-09,pr_live_zip
CEMPRO,218015622854.4,2026-09-09,pr_live_zip
CENTRALBK,276791850958.9,2026-09-09,pr_live_zip
CENTURYPLY,164119187713.0,2026-09-09,pr_live_zip
CERA,73496637388.5,2026-09-09,pr_live_zip
CESC,198398126258.1,2026-09-09,pr_live_zip
CGCL,262090739248.8,2026-09-09,pr_live_zip
CGPOWER,1459927014860.55,2026-09-09,pr_live_zip
CHALET,194839074791.9,2026-09-09,pr_live_zip
CHAMBLFERT,166511094633.2,2026-09-09,pr_live_zip
CHENNPETRO,238913450160.0,2026-09-09,pr_live_zip
CHOICEIN,167227179725.0,2026-09-09,pr_live_zip
CHOLAFIN,1559201479303.0,2026-09-09,pr_live_zip
CHOLAHLDNG,287412183337.2,2026-09-09,pr_live_zip
CIEINDIA,144783651182.05,2026-09-09,pr_live_zip
CIPLA,1101173950239.6,2026-09-09,pr_live_zip
CLEAN,87757476764.0,2026-09-09,pr_live_zip
CMSINFO,38072431356.25,2026-09-09,pr_live_zip
COALINDIA,2656135908937.0,2026-09-09,pr_live_zip
COCHINSHIP,409353693680.0,2026-09-09,pr_live_zip
COFORGE,816687000945.0,2026-09-09,pr_live_zip
COHANCE,169611141519.0,2026-09-09,pr_live_zip
COLPAL,489574141200.0,2026-09-09,pr_live_zip
CONCOR,388425146850.0,2026-09-09,pr_live_zip
CONCORDBIO,153210430758.0,2026-09-09,pr_live_zip
COROMANDEL,579025231965.3,2026-09-09,pr_live_zip
CORONA,134380945353.6,2026-09-09,pr_live_zip
CPPLUS,441479701858.5,2026-09-09,pr_live_zip
CRAFTSMAN,308779235998.0,2026-09-09,pr_live_zip
CRAMC,47600940063.6,2026-09-09,pr_live_zip
CREDITACC,223738097037.0,2026-09-09,pr_live_zip
CRISIL,343023657740.2,2026-09-09,pr_live_zip
CRIZAC,30803919300.0,2026-09-09,pr_live_zip
CROMPTON,150006409280.0,2026-09-09,pr_live_zip
CSBBANK,53971440779.7,2026-09-09,pr_live_zip
CUB,229535679427.45,2026-09-09,pr_live_zip
CUMMINSIND,1433262600000.0,2026-09-09,pr_live_zip
CUPID,376101597790.0,2026-09-09,pr_live_zip
CYIENT,112619938473.9,2026-09-09,pr_live_zip
DABUR,659112009761.4,2026-09-09,pr_live_zip
DALBHARAT,325164336120.8,2026-09-09,pr_live_zip
DATAMATICS,45692194016.45,2026-09-09,pr_live_zip
DATAPATTNS,273380917420.8,2026-09-09,pr_live_zip
DBL,63840819369.0,2026-09-09,pr_live_zip
DBREALTY,53839295096.85,2026-09-09,pr_live_zip
DCBBANK,73465861098.7,2026-09-09,pr_live_zip
