Symbol,MarketCap,AsOf,Source
NESCO,77287530124.0,2026-09-09,pr_live_zip
NESTLEIND,2686141847760.0,2026-09-09,pr_live_zip
NETWEB,278923955269.5,2026-09-09,pr_live_zip
NETWORK18,41510640484.55,2026-09-09,pr_live_zip
NEULANDLAB,297589275355.0,2026-09-09,pr_live_zip
NEWGEN,73086254525.7,2026-09-09,pr_live_zip
NFL,34330676432.0,2026-09-09,pr_live_zip
NH,386364536042.4,2026-09-09,pr_live_zip
NHPC,770353719195.45,2026-09-09,pr_live_zip
NIACL,338680480000.0,2026-09-09,pr_live_zip
NIVABUPA,147063001198.9,2026-09-09,pr_live_zip
NLCINDIA,376541171173.95,2026-09-09,pr_live_zip
NMDC,754337945790.0,2026-09-09,pr_live_zip
NSLNISP,131994487484.0,2026-09-09,pr_live_zip
NTPC,3243534821823.0,2026-09-09,pr_live_zip
NTPCGREEN,741769800762.05,2026-09-09,pr_live_zip
NUVAMA,325060740693.4,2026-09-09,pr_live_zip
NUVOCO,119558022216.75,2026-09-09,pr_live_zip
NYKAA,982291668358.0,2026-09-09,pr_live_zip
OBEROIRLTY,654484026600.0,2026-09-09,pr_live_zip
OFSS,1012558146270.0,2026-09-09,pr_live_zip
OIL,811595957319.45,2026-09-09,pr_live_zip
OLAELEC,172685914158.05,2026-09-09,pr_live_zip
OLECTRA,99038617264.2,2026-09-09,pr_live_zip
ONESOURCE,175419540110.1,2026-09-09,pr_live_zip
ONGC,2944036939788.1,2026-09-09,pr_live_zip
OPTIEMUS,48064885946.85,2026-09-09,pr_live_zip
ORIENTCEM,25945472762.45,2026-09-09,pr_live_zip
ORKLAINDIA,80316785549.0,2026-09-09,pr_live_zip
OSWALPUMPS,32234884626.75,2026-09-09,pr_live_zip
PAGEIND,394791370230.0,2026-09-09,pr_live_zip
PARADEEP,163947900204.5,2026-09-09,pr_live_zip
PARAS,118463375100.0,2026-09-09,pr_live_zip
PARKHOSPS,121739714018.4,2026-09-09,pr_live_zip
PATANJALI,371045030895.0,2026-09-09,pr_live_zip
PAYTM,1121550266009.0,2026-09-09,pr_live_zip
PCBL,131790299209.8,2026-09-09,pr_live_zip
PCJEWELLER,134685118438.85,2026-09-09,pr_live_zip
PERSISTENT,854847250000.0,2026-09-09,pr_live_zip
PETRONET,428850025159.2,2026-09-09,pr_live_zip
PFC,1159655758464.0,2026-09-09,pr_live_zip
PFIZER,190813790172.0,2026-09-09,pr_live_zip
PFOCUS,245445810016.1,2026-09-09,pr_live_zip
PGEL,154798391965.0,2026-09-09,pr_live_zip
PGIL,105192435669.3,2026-09-09,pr_live_zip
PHOENIXLTD,674257607952.5,2026-09-09,pr_live_zip
PICCADIL,59123571971.2,2026-09-09,pr_live_zip
PIDILITIND,1599942847056.0,2026-09-09,pr_live_zip
PIIND,363213174492.0,2026-09-09,pr_live_zip
PINELABS,201040228085.15,2026-09-09,pr_live_zip
PIRAMALFIN,523738825850.0,2026-09-09,pr_live_zip
PNB,1328699171213.5,2026-09-09,pr_live_zip
PNBHOUSING,297593692066.0,2026-09-09,pr_live_zip
PNCINFRA,45920510535.0,2026-09-09,pr_live_zip
PNGJL,90007020598.25,2026-09-09,pr_live_zip
POLICYBZR,832847526000.0,2026-09-09,pr_live_zip
POLYCAB,1258405232762.0,2026-09-09,pr_live_zip
POLYMED,174743760760.0,2026-09-09,pr_live_zip
POONAWALLA,394983323962.6,2026-09-09,pr_live_zip
POWERGRID,2472565525281.15,2026-09-09,pr_live_zip
POWERINDIA,1407595223540.0,2026-09-09,pr_live_zip
POWERMECH,76830751189.2,2026-09-09,pr_live_zip
PPLPHARMA,290233892340.0,2026-09-09,pr_live_zip
PRAJIND,60051735849.6,2026-09-09,pr_live_zip
PREMIERENE,442077203731.2,2026-09-09,pr_live_zip
PRESTIGE,663496849372.8,2026-09-09,pr_live_zip
PRICOLLTD,90899221208.4,2026-09-09,pr_live_zip
PRIVISCL,138199947557.4,2026-09-09,pr_live_zip
PRSMJOHNSN,56602447421.0,2026-09-09,pr_live_zip
PRUDENT,136745560700.0,2026-09-09,pr_live_zip
PTC,45324794111.5,2026-09-09,pr_live_zip
PTCIL,341530266220.0,2026-09-09,pr_live_zip
PURVA,51283619597.5,2026-09-09,pr_live_zip
PVRINOX,114815395570.4,2026-09-09,pr_live_zip
PWL,363120712179.1,2026-09-09,pr_live_zip
QPOWER,117188412120.0,2026-09-09,pr_live_zip
QUESS,53022746395.0,2026-09-09,pr_live_zip
RADICO,591172978900.0,2026-09-09,pr_live_zip
RAILTEL,84663551766.6,2026-09-09,pr_live_zip
RAIN,74836913577.5,2026-09-09,pr_live_zip
RAINBOW,147372491271.6,2026-09-09,pr_live_zip
RALLIS,39673598248.9,2026-09-09,pr_live_zip
RAMCOCEM,204830049603.0,2026-09-09,pr_live_zip
RATEGAIN,99643265342.6,2026-09-09,pr_live_zip
RATNAMANI,200407046400.0,2026-09-09,pr_live_zip
RAYMONDLSL,40846247063.05,2026-09-09,pr_live_zip
RBA,71527745631.0,2026-09-09,pr_live_zip
RBLBANK,644200141728.0,2026-09-09,pr_live_zip
RCF,62142147584.0,2026-09-09,pr_live_zip
RECLTD,828148948000.0,2026-09-09,pr_live_zip
REDINGTON,295549823639.55,2026-09-09,pr_live_zip
REDTAPE,64440781932.0,2026-09-09,pr_live_zip
REFEX,37481492221.2,2026-09-09,pr_live_zip
RELAXO,81178872894.6,2026-09-09,pr_live_zip
RELIANCE,17308117025438.0,2026-09-09,pr_live_zip
RELIGARE,85436341435.35,2026-09-09,pr_live_zip
RENUKA,51828725972.55,2026-09-09,pr_live_zip
RHIM,77830387459.4,2026-09-09,pr_live_zip
RITES,101469874804.6,2026-09-09,pr_live_zip
RKFORGE,131048496751.9,2026-09-09,pr_live_zip
ROUTE,31674799475.5,2026-09-09,pr_live_zip
RPOWER,91028318961.65,2026-09-09,pr_live_zip
RRKABEL,273692700999.0,2026-09-09,pr_live_zip
RTNINDIA,38164463435.1,2026-09-09,pr_live_zip
RTNPOWER,38933267485.0,2026-09-09,pr_live_zip
RUBICON,299425468875.0,2026-09-09,pr_live_zip
RVNL,431599160700.0,2026-09-09,pr_live_zip
SAATVIKGL,52875681664.0,2026-09-09,pr_live_zip
SAFARI,75168974344.2,2026-09-09,pr_live_zip
SAGILITY,211596044267.6,2026-09-09,pr_live_zip
SAIL,769929913869.6,2026-09-09,pr_live_zip
SAILIFE,355378333831.0,2026-09-09,pr_live_zip
SAMHI,33859997808.5,2026-09-09,pr_live_zip
SAMMAANCAP,174382498781.75,2026-09-09,pr_live_zip
SANDUMA,97711928662.15,2026-09-09,pr_live_zip
SANOFICONR,93262503789.0,2026-09-09,pr_live_zip
SANSERA,257799117323.2,2026-09-09,pr_live_zip
SAPPHIRE,73149963007.05,2026-09-09,pr_live_zip
SARDAEN,192347316229.5,2026-09-09,pr_live_zip
SAREGAMA,96510790219.5,2026-09-09,pr_live_zip
SBFC,110276681523.05,2026-09-09,pr_live_zip
SBICARD,636055652109.6,2026-09-09,pr_live_zip
SBILIFE,1689340875044.0,2026-09-09,pr_live_zip
SBIN,9235232894793.0,2026-09-09,pr_live_zip
SCHAEFFLER,614867377046.0,2026-09-09,pr_live_zip
SCHNEIDER,285442396983.0,2026-09-09,pr_live_zip
SCI,133847345523.5,2026-09-09,pr_live_zip
SENCO,58293791314.2,2026-09-09,pr_live_zip
SFL,75022676718.0,2026-09-09,pr_live_zip
SHAILY,158913581840.0,2026-09-09,pr_live_zip
SHAKTIPUMP,57725568027.0,2026-09-09,pr_live_zip
SHARDACROP,70687757832.5,2026-09-09,pr_live_zip
SHAREINDIA,41206043793.0,2026-09-09,pr_live_zip
SHILPAMED,187875892449.6,2026-09-09,pr_live_zip
SHREECEM,828053166600.0,2026-09-09,pr_live_zip
SHRIPISTON,208775333017.6,2026-09-09,pr_live_zip
SHRIRAMFIN,2421062654472.0,2026-09-09,pr_live_zip
SHYAMMETL,299703870566.1,2026-09-09,pr_live_zip
SIEMENS,1406355486295.5,2026-09-09,pr_live_zip
SIGNATURE,110553811678.8,2026-09-09,pr_live_zip
SJVN,262824701304.0,2026-09-09,pr_live_zip
SKFINDIA,75813116260.5,2026-09-09,pr_live_zip
SKFINDUS,146914794647.1,2026-09-09,pr_live_zip
SKIPPER,67059351588.25,2026-09-09,pr_live_zip
SKYGOLD,128886046264.8,2026-09-09,pr_live_zip
SMARTWORKS,62609904544.2,2026-09-09,pr_live_zip
SMLMAH,95078714220.0,2026-09-09,pr_live_zip
SOBHA,131473884977.0,2026-09-09,pr_live_zip
SOLARINDS,2022905179525.0,2026-09-09,pr_live_zip
SONACOMS,497311655431.5,2026-09-09,pr_live_zip
SONATSOFTW,75069723243.2,2026-09-09,pr_live_zip
SOUTHBANK,121483692499.25,2026-09-09,pr_live_zip
SPARC,65088121343.65,2026-09-09,pr_live_zip
SPLPETRO,152981033784.1,2026-09-09,pr_live_zip
SRF,746990559000.0,2026-09-09,pr_live_zip
STAR,110210914129.8,2026-09-09,pr_live_zip
STARCEMENT,79318344703.05,2026-09-09,pr_live_zip
STARHEALTH,336554541468.9,2026-09-09,pr_live_zip
STLTECH,444995744447.8,2026-09-09,pr_live_zip
STYL,62902014857.5,2026-09-09,pr_live_zip
STYRENIX,37747544062.5,2026-09-09,pr_live_zip
SUBROS,47556861750.0,2026-09-09,pr_live_zip
SUDARSCHEM,99251589184.8,2026-09-09,pr_live_zip
SUDEEPPHRM,144269278712.5,2026-09-09,pr_live_zip
SUMICHEM,240463458318.0,2026-09-09,pr_live_zip
SUNDARMFIN,525299050080.0,2026-09-09,pr_live_zip
SUNPHARMA,4474519785553.0,2026-09-09,pr_live_zip
SUNTECK,42833818692.5,2026-09-09,pr_live_zip
SUNTV,177062219766.0,2026-09-09,pr_live_zip
SUPREMEIND,446740799103.0,2026-09-09,pr_live_zip
SUPRIYA,73352023920.0,2026-09-09,pr_live_zip
SURYAROSNI,47786313684.7,2026-09-09,pr_live_zip
SUZLON,624607890418.8,2026-09-09,pr_live_zip
SWANCORP,87031304397.9,2026-09-09,pr_live_zip
SWIGGY,780478657676.25,2026-09-09,pr_live_zip
SWSOLAR,42509778991.6,2026-09-09,pr_live_zip
SYNGENE,156139226059.6,2026-09-09,pr_live_zip
SYRMA,312848178864.0,2026-09-09,pr_live_zip
TANLA,67542020938.7,2026-09-09,pr_live_zip
TARC,38297602356.3,2026-09-09,pr_live_zip
TARIL,89119236114.6,2026-09-09,pr_live_zip
TATACAP,1540887460431.0,2026-09-09,pr_live_zip
TATACHEM,153630773447.9,2026-09-09,pr_live_zip
TATACOMM,505248000000.0,2026-09-09,pr_live_zip
TATACONSUM,990634913268.0,2026-09-09,pr_live_zip
TATAELXSI,210750967512.0,2026-09-09,pr_live_zip
TATAINVEST,313083691648.0,2026-09-09,pr_live_zip
TATAPOWER,1182275632390.0,2026-09-09,pr_live_zip
TATASTEEL,2356265753526.25,2026-09-09,pr_live_zip
TATATECH,319826723899.5,2026-09-09,pr_live_zip
TBOTEK,186890440205.7,2026-09-09,pr_live_zip
TCS,7988737239744.0,2026-09-09,pr_live_zip
TDPOWERSYS,235936174986.0,2026-09-09,pr_live_zip
TECHM,1477927400664.0,2026-09-09,pr_live_zip
TECHNOE,114589970262.2,2026-09-09,pr_live_zip
TEGA,126086815553.4,2026-09-09,pr_live_zip
TEJASNET,102424356346.0,2026-09-09,pr_live_zip
TENNIND,209228473785.6,2026-09-09,pr_live_zip
TEXRAIL,46854524111.5,2026-09-09,pr_live_zip
THANGAMAYL,159077783478.0,2026-09-09,pr_live_zip
THELEELA,177481914263.1,2026-09-09,pr_live_zip
THERMAX,433562113180.0,2026-09-09,pr_live_zip
THOMASCOOK,51332630731.05,2026-09-09,pr_live_zip
THYROCARE,90222858807.75,2026-09-09,pr_live_zip
TI,131383880237.5,2026-09-09,pr_live_zip
TIINDIA,518417878628.7,2026-09-09,pr_live_zip
TIMETECHNO,91317608761.2,2026-09-09,pr_live_zip
TIMKEN,238699130475.6,2026-09-09,pr_live_zip
TIPSMUSIC,83580024772.0,2026-09-09,pr_live_zip
TITAGARH,118021356586.8,2026-09-09,pr_live_zip
TITAN,4443369730800.0,2026-09-09,pr_live_zip
TMB,146039628451.5,2026-09-09,pr_live_zip
TMCV,1638523461862.1,2026-09-09,pr_live_zip
TMPV,1115897766033.0,2026-09-09,pr_live_zip
TORNTPHARM,1875213525150.0,2026-09-09,pr_live_zip
TORNTPOWER,657946856095.1,2026-09-09,pr_live_zip
TRANSRAILL,56931267401.25,2026-09-09,pr_live_zip
TRAVELFOOD,170998977922.4,2026-09-09,pr_live_zip
TRENT,1503770586420.0,2026-09-09,pr_live_zip
TRIDENT,121232785389.3,2026-09-09,pr_live_zip
TRITURBINE,179626557883.95,2026-09-09,pr_live_zip
TRIVENI,58839773798.4,2026-09-09,pr_live_zip
TSFINV,93927722394.0,2026-09-09,pr_live_zip
TTML,70631538776.5,2026-09-09,pr_live_zip
TVSMOTOR,1972134118925.4,2026-09-09,pr_live_zip
TVSSCS,54993090365.55,2026-09-09,pr_live_zip
UBL,334922002238.3,2026-09-09,pr_live_zip
UCOBANK,300698624316.4,2026-09-09,pr_live_zip
UJJIVANSFB,124729801318.9,2026-09-09,pr_live_zip
ULTRACEMCO,3212002963900.0,2026-09-09,pr_live_zip
UNIONBANK,1403743735071.25,2026-09-09,pr_live_zip
UNITDSPR,1022073418635.6,2026-09-09,pr_live_zip
UNOMINDA,709819858604.0,2026-09-09,pr_live_zip
UPL,485988276372.6,2026-09-09,pr_live_zip
URBANCO,264622769668.75,2026-09-09,pr_live_zip
USHAMART,151959488597.0,2026-09-09,pr_live_zip
UTIAMC,115786591420.5,2026-09-09,pr_live_zip
UTLSOLAR,138566145543.0,2026-09-09,pr_live_zip
V2RETAIL,80099930608.5,2026-09-09,pr_live_zip
VAIBHAVGBL,35855202851.0,2026-09-09,pr_live_zip
VARROC,128248904160.0,2026-09-09,pr_live_zip
VBL,1376594530608.0,2026-09-09,pr_live_zip
VEDL,1065580745532.5,2026-09-09,pr_live_zip
VGUARD,142841530432.25,2026-09-09,pr_live_zip
VIJAYA,154231905599.2,2026-09-09,pr_live_zip
VIKRAMSOLR,60364616330.8,2026-09-09,pr_live_zip
VIPIND,43325813030.0,2026-09-09,pr_live_zip
VIYASH,114417687426.3,2026-09-09,pr_live_zip
VMART,65324819242.4,2026-09-09,pr_live_zip
VMM,482508404073.1,2026-09-09,pr_live_zip
VOLTAMP,111986401280.0,2026-09-09,pr_live_zip
VOLTAS,378465965612.0,2026-09-09,pr_live_zip
VTL,168764391400.0,2026-09-09,pr_live_zip
WAAREEENER,738688628280.0,2026-09-09,pr_live_zip
WAAREERTL,86972217632.0,2026-09-09,pr_live_zip
WABAG,132788446286.7,2026-09-09,pr_live_zip
WAKEFIT,50574470382.7,2026-09-09,pr_live_zip
WEBELSOLAR,34021049509.2,2026-09-09,pr_live_zip
WELCORP,688097897482.5,2026-09-09,pr_live_zip
WELENT,108357251158.5,2026-09-09,pr_live_zip
WELSPUNLIV,201690590643.9,2026-09-09,pr_live_zip
WESTLIFE,87558156647.5,2026-09-09,pr_live_zip
WEWORK,93506843024.4,2026-09-09,pr_live_zip
WHIRLPOOL,100863104850.0,2026-09-09,pr_live_zip
WIPRO,1653991144530.0,2026-09-09,pr_live_zip
WOCKPHARMA,365412389647.2,2026-09-09,pr_live_zip
YATHARTH,95361907122.9,2026-09-09,pr_live_zip
YESBANK,703671592077.75,2026-09-09,pr_live_zip
ZAGGLE,23807212271.7,2026-09-09,pr_live_zip
ZEEL,82326119488.2,2026-09-09,pr_live_zip
ZENSARTECH,99404226015.3,2026-09-09,pr_live_zip
ZENTEC,159118694378.8,2026-09-09,pr_live_zip
ZFCVINDIA,281088214329.6,2026-09-09,pr_live_zip
ZYDUSLIFE,1134428200326.0,2026-09-09,pr_live_zip
ZYDUSWELL,176324671024.0,2026-09-09,pr_live_zip
