Symbol,ATH,ATHDate,AsOf
BHARTIHEXA,2019.432941805554,2025-07-01,2026-09-15
BHEL,446.5,2026-07-17,2026-09-15
BIKAJI,1004.716222766366,2024-09-27,2026-09-15
BIOCON,482.2566352540497,2020-12-23,2026-09-15
BIRLACORPN,1753.5097227613298,2024-02-27,2026-09-15
BLACKBUCK,748.0,2025-10-21,2026-09-15
BLS,516.6666088426001,2025-01-03,2026-09-15
BLUEDART,9531.425476143846,2022-10-04,2026-09-15
BLUEJET,1023.8549402223679,2025-07-21,2026-09-15
BLUESTARCO,2393.7057993388753,2025-01-06,2026-09-15
BLUESTONE,926.0,2026-08-13,2026-09-15
BORORENEW,833.3499755859375,2022-04-25,2026-09-15
BOSCHLTD,50000.0,2026-08-31,2026-09-15
BPCL,391.6499938964844,2026-02-05,2026-09-15
BRIGADE,1081.5815538886247,2024-06-25,2026-09-15
BRITANNIA,6281.591906774038,2024-10-03,2026-09-15
BSE,4435.115403617064,2026-05-27,2026-09-15
BSOFT,827.7153784243919,2024-02-06,2026-09-15
CAMPUS,632.5956386938127,2022-10-19,2026-09-15
CAMS,1042.4590606818697,2024-12-12,2026-09-15
CANBK,157.68821233301085,2026-02-26,2026-09-15
CANFINHOME,962.6932158005569,2025-12-26,2026-09-15
CANHLIFE,166.24617118007782,2026-07-21,2026-09-15
CAPILLARY,798.9500122070312,2025-11-26,2026-09-15
CAPLIPOINT,2877.300048828125,2026-09-03,2026-09-15
CARBORUNIV,1823.0519543757264,2024-06-20,2026-09-15
CARTRADE,3290.5,2025-11-17,2026-09-15
CASTROLIND,252.51313523758375,2024-08-27,2026-09-15
CCAVENUE,50.1884530854776,2018-09-18,2026-09-15
CCL,1238.748718225596,2026-07-13,2026-09-15
CDSL,1955.8666541132802,2024-12-17,2026-09-15
CEATLTD,4393.1588210528225,2025-10-23,2026-09-15
CELLO,1016.2748342349013,2024-07-04,2026-09-15
CEMPRO,1649.199951171875,2026-07-21,2026-09-15
CENTRALBK,187.8132319283704,2010-11-08,2026-09-15
CENTURYPLY,932.5617417389099,2024-09-23,2026-09-15
CERA,10565.945198099444,2024-08-09,2026-09-15
CESC,197.1955548334318,2026-05-04,2026-09-15
CGCL,873.6680335773295,2023-06-15,2026-09-15
CGPOWER,980.9000244140625,2026-07-02,2026-09-15
CHALET,1079.5681599594832,2025-08-01,2026-09-15
CHAMBLFERT,717.7205235472039,2025-05-06,2026-09-15
CHENNPETRO,1677.5,2026-09-11,2026-09-15
CHOICEIN,860.5,2026-01-05,2026-09-15
CHOLAFIN,1952.5,2026-08-06,2026-09-15
CHOLAHLDNG,2228.303971915022,2025-07-02,2026-09-15
CIEINDIA,603.4454055869521,2024-07-09,2026-09-15
CIPLA,1668.4080350677445,2024-10-09,2026-09-15
CLEAN,2649.0036537665096,2022-01-05,2026-09-15
CMSINFO,592.354248945831,2024-10-10,2026-09-15
COALINDIA,478.7148398145708,2026-04-30,2026-09-15
COCHINSHIP,2941.1239873164973,2024-07-08,2026-09-15
COFORGE,2021.199951171875,2026-08-31,2026-09-15
COHANCE,1360.0,2024-12-02,2026-09-15
COLPAL,3733.222577960721,2024-09-30,2026-09-15
CONCOR,1141.6219482681765,2024-06-03,2026-09-15
CONCORDBIO,2631.363699216058,2024-09-20,2026-09-15
COROMANDEL,2705.5902344118426,2025-07-31,2026-09-15
CORONA,2270.10009765625,2026-08-04,2026-09-15
CPPLUS,4094.0,2026-08-13,2026-09-15
CRAFTSMAN,11999.0,2026-09-09,2026-09-15
CRAMC,348.31533559533113,2025-10-27,2026-09-15
CREDITACC,1781.870505064758,2023-12-14,2026-09-15
CRISIL,6781.7122121097655,2024-12-31,2026-09-15
CRIZAC,375.5949132544453,2025-09-08,2026-09-15
CROMPTON,490.14984339932596,2021-09-16,2026-09-15
CSBBANK,574.4000244140625,2026-01-05,2026-09-15
CUB,248.85000610351562,2026-09-07,2026-09-15
CUMMINSIND,6049.821052103703,2026-05-29,2026-09-15
CUPID,299.0,2026-08-14,2026-09-15
CYIENT,2361.958304294567,2023-12-22,2026-09-15
DABUR,649.9957066902813,2024-09-17,2026-09-15
DALBHARAT,2485.3786650189318,2021-09-14,2026-09-15
DATAMATICS,1106.8159382958138,2025-08-07,2026-09-15
DATAPATTNS,5000.0,2026-08-21,2026-09-15
DBL,1231.016341993909,2018-05-15,2026-09-15
DBREALTY,475.8999938964844,2010-03-10,2026-09-15
DCBBANK,234.8000030517578,2026-09-08,2026-09-15
