Symbol,ATH,ATHDate,AsOf
NIVABUPA,109.33999633789062,2024-12-05,2026-09-15
NLCINDIA,387.79998779296875,2026-05-14,2026-09-15
NMDC,97.48999786376953,2026-06-03,2026-09-15
NSLNISP,73.69999694824219,2024-02-05,2026-09-15
NTPC,426.2793891578854,2024-09-30,2026-09-15
NTPCGREEN,155.35000610351562,2024-12-04,2026-09-15
NUVAMA,2066.0,2026-07-24,2026-09-15
NUVOCO,577.9000244140625,2021-09-06,2026-09-15
NYKAA,428.95001220703125,2021-11-26,2026-09-15
OBEROIRLTY,2324.1933562366835,2024-12-27,2026-09-15
OFSS,12540.0,2026-08-31,2026-09-15
OIL,728.1984625298243,2024-08-30,2026-09-15
OLAELEC,157.39999389648438,2024-08-20,2026-09-15
OLECTRA,2220.8900536540687,2024-02-22,2026-09-15
ONESOURCE,2248.0,2025-06-18,2026-09-15
ONGC,309.4845404705885,2024-08-13,2026-09-15
OPTIEMUS,873.7999877929688,2024-09-26,2026-09-15
ORIENTCEM,376.80616568753146,2024-10-22,2026-09-15
ORKLAINDIA,760.0,2025-11-06,2026-09-15
OSWALPUMPS,888.4000244140625,2025-08-21,2026-09-15
PAGEIND,51459.959612166254,2022-10-21,2026-09-15
PARADEEP,231.04162162691708,2025-07-29,2026-09-15
PARAS,1590.3801828530445,2024-07-05,2026-09-15
PARKHOSPS,305.0,2026-07-01,2026-09-15
PATANJALI,5110.864026088382,2008-01-01,2026-09-15
PAYTM,1955.0,2021-11-18,2026-09-15
PCBL,558.3116716348688,2024-09-30,2026-09-15
PCJEWELLER,59.69514207545616,2018-01-16,2026-09-15
PERSISTENT,6700.893664532136,2024-12-20,2026-09-15
PETRONET,359.1919798422857,2024-08-21,2026-09-15
PFC,525.7838083517067,2024-07-12,2026-09-15
PFIZER,6169.13776808645,2024-09-02,2026-09-15
PFOCUS,367.0,2026-04-17,2026-09-15
PGEL,1053.7354579475011,2025-01-06,2026-09-15
PGIL,1269.800048828125,2026-08-07,2026-09-15
PHOENIXLTD,2166.9299087704976,2026-07-14,2026-09-15
PICCADIL,809.7000122070312,2026-08-11,2026-09-15
PIDILITIND,1707.5,2026-08-14,2026-09-15
PIIND,4758.451370066359,2024-09-20,2026-09-15
PINELABS,284.0,2025-11-14,2026-09-15
PIRAMALFIN,2326.39990234375,2026-09-09,2026-09-15
PNB,222.23403754754568,2010-11-09,2026-09-15
PNBHOUSING,1377.6169752890546,2017-08-30,2026-09-15
PNCINFRA,572.8836013832289,2024-05-27,2026-09-15
PNGJL,848.0,2024-09-17,2026-09-15
POLICYBZR,2246.89990234375,2025-01-03,2026-09-15
POLYCAB,10126.0,2026-06-22,2026-09-15
POLYMED,3345.063648459832,2024-11-01,2026-09-15
POONAWALLA,570.4000244140625,2025-10-06,2026-09-15
POWERGRID,345.5981368756376,2024-09-25,2026-09-15
POWERINDIA,38775.74235339215,2026-06-01,2026-09-15
POWERMECH,3720.0298084571905,2024-08-23,2026-09-15
PPLPHARMA,307.70063928668344,2024-11-06,2026-09-15
PRAJIND,854.020564570153,2025-01-01,2026-09-15
PREMIERENE,1385.257605941029,2024-12-17,2026-09-15
PRESTIGE,2067.8262170296325,2024-06-24,2026-09-15
PRICOLLTD,823.0,2026-08-20,2026-09-15
PRIVISCL,3774.7057070510364,2026-07-22,2026-09-15
PRSMJOHNSN,246.0,2024-09-11,2026-09-15
PRUDENT,4105.5,2026-08-31,2026-09-15
PTC,203.5447632528218,2026-05-07,2026-09-15
PTCIL,24125.0,2026-09-04,2026-09-15
PURVA,569.5999755859375,2024-07-03,2026-09-15
PVRINOX,2214.85009765625,2022-08-04,2026-09-15
PWL,161.99000549316406,2025-11-18,2026-09-15
QPOWER,1570.0,2026-09-07,2026-09-15
QUESS,1147.2283656894865,2018-06-13,2026-09-15
RADICO,4747.0,2026-08-19,2026-09-15
RAILTEL,603.9178222344758,2024-07-12,2026-09-15
RAIN,445.7703340740684,2018-01-09,2026-09-15
RAINBOW,1702.1995493938232,2024-11-26,2026-09-15
RALLIS,381.0180844323804,2025-07-30,2026-09-15
RAMCOCEM,1211.1945755050306,2026-02-09,2026-09-15
RATEGAIN,1050.0,2026-08-06,2026-09-15
RATNAMANI,3937.8657884183654,2024-09-13,2026-09-15
RAYMONDLSL,3096.1002768685735,2024-09-05,2026-09-15
RBA,213.8000030517578,2020-12-17,2026-09-15
RBLBANK,693.4028405665593,2019-05-28,2026-09-15
RCF,239.33495251885776,2024-07-23,2026-09-15
RECLTD,591.268598366152,2024-07-12,2026-09-15
REDINGTON,403.25,2026-09-10,2026-09-15
REDTAPE,961.2839838723579,2024-10-31,2026-09-15
REFEX,597.2954278301867,2024-09-30,2026-09-15
RELAXO,1426.1003438061766,2021-11-04,2026-09-15
RELIANCE,1604.3820104615531,2026-01-05,2026-09-15
RELIGARE,689.2355285297124,2008-01-02,2026-09-15
RENUKA,115.99918845706308,2010-01-07,2026-09-15
RHIM,875.7709157685634,2023-01-06,2026-09-15
RITES,388.0529657173859,2024-02-27,2026-09-15
RKFORGE,1059.403845719127,2024-10-15,2026-09-15
ROUTE,2268.6419452429486,2021-10-12,2026-09-15
RPOWER,324.51042114257814,2008-02-11,2026-09-15
RRKABEL,2983.800048828125,2026-08-24,2026-09-15
RTNINDIA,94.8499984741211,2024-02-08,2026-09-15
RTNPOWER,45.04999923706055,2009-10-30,2026-09-15
RUBICON,1899.0,2026-08-28,2026-09-15
RVNL,637.1476868455783,2024-07-15,2026-09-15
SAATVIKGL,567.0,2025-10-10,2026-09-15
SAFARI,2737.0386905251976,2024-12-11,2026-09-15
SAGILITY,57.700033807096844,2025-10-30,2026-09-15
SAIL,209.6999969482422,2026-05-14,2026-09-15
SAILIFE,1697.0,2026-09-09,2026-09-15
SAMHI,254.5,2025-07-22,2026-09-15
SAMMAANCAP,1055.2610406039466,2018-01-29,2026-09-15
SANDUMA,272.33215508462166,2026-01-05,2026-09-15
SANOFICONR,5805.16443531165,2025-06-30,2026-09-15
SANSERA,4170.0,2026-09-09,2026-09-15
SAPPHIRE,401.0,2024-09-24,2026-09-15
SARDAEN,637.3049486596227,2025-09-16,2026-09-15
SAREGAMA,675.5858194762956,2024-10-01,2026-09-15
SBFC,123.0,2025-11-03,2026-09-15
SBICARD,1145.8805100611803,2021-09-01,2026-09-15
SBILIFE,2129.040438508761,2026-02-23,2026-09-15
SBIN,1212.8384373028666,2026-02-24,2026-09-15
SCHAEFFLER,4869.382505572982,2024-06-18,2026-09-15
SCHNEIDER,1548.0,2026-07-08,2026-09-15
SCI,367.499792159746,2026-05-11,2026-09-15
SENCO,765.9925236703699,2024-10-07,2026-09-15
SFL,2024.761625863407,2022-04-13,2026-09-15
SHAILY,3611.994309186523,2026-08-11,2026-09-15
SHAKTIPUMP,1382.7523715974387,2025-01-09,2026-09-15
SHARDACROP,1282.80960014975,2026-02-13,2026-09-15
SHAREINDIA,397.78692586644974,2024-02-22,2026-09-15
SHILPAMED,980.0999755859375,2026-09-07,2026-09-15
SHREECEM,32314.193495300096,2025-07-23,2026-09-15
SHRIPISTON,4785.7998046875,2026-08-24,2026-09-15
SHRIRAMFIN,1153.699951171875,2026-08-06,2026-09-15
SHYAMMETL,1111.0,2026-08-28,2026-09-15
SIEMENS,4732.24311064757,2024-10-16,2026-09-15
SIGNATURE,1647.0,2024-09-26,2026-09-15
SJVN,162.07596772668433,2024-02-05,2026-09-15
SKFINDIA,7009.836435287835,2024-06-18,2026-09-15
SKFINDUS,3131.0,2026-09-03,2026-09-15
SKIPPER,664.7673740671642,2024-12-12,2026-09-15
SKYGOLD,868.7999877929688,2026-08-26,2026-09-15
SMARTWORKS,619.0,2025-11-04,2026-09-15
SMLMAH,6654.0,2026-09-10,2026-09-15
SOBHA,2144.2823859651908,2024-06-13,2026-09-15
SOLARINDS,22625.0,2026-09-09,2026-09-15
SONACOMS,844.0,2026-08-20,2026-09-15
SONATSOFTW,831.5435122687314,2024-02-27,2026-09-15
SOUTHBANK,49.41417107532308,2026-07-07,2026-09-15
SPARC,593.9586791992188,2015-03-10,2026-09-15
SPLPETRO,965.127357372077,2025-09-29,2026-09-15
SRF,3308.2446554730686,2025-07-10,2026-09-15
STAR,1659.6918554820659,2024-10-17,2026-09-15
STARCEMENT,307.54132736825795,2025-09-02,2026-09-15
STARHEALTH,940.0,2021-12-10,2026-09-15
STLTECH,897.4500122070312,2026-09-11,2026-09-15
STYL,434.70430029318214,2025-09-30,2026-09-15
STYRENIX,3381.106403936251,2025-06-11,2026-09-15
SUBROS,1208.590392245295,2025-09-29,2026-09-15
SUDARSCHEM,1595.8711433648984,2025-09-24,2026-09-15
SUDEEPPHRM,1378.0,2026-09-07,2026-09-15
SUMICHEM,663.4007109284798,2025-08-04,2026-09-15
SUNDARMFIN,5612.405266256894,2026-03-04,2026-09-15
SUNPHARMA,2046.9000244140625,2026-07-31,2026-09-15
SUNTECK,694.8627742113794,2024-07-16,2026-09-15
SUNTV,873.2667254706035,2024-08-09,2026-09-15
SUPREMEIND,6324.192744870182,2024-06-12,2026-09-15
SUPRIYA,1083.7124081428149,2026-06-01,2026-09-15
SURYAROSNI,404.9486205363796,2024-01-11,2026-09-15
SUZLON,419.9609679362923,2008-01-09,2026-09-15
SWANCORP,809.234402571799,2024-12-16,2026-09-15
SWIGGY,617.2999877929688,2024-12-23,2026-09-15
SWSOLAR,828.0,2024-05-21,2026-09-15
SYNGENE,956.0348113085523,2024-12-02,2026-09-15
SYRMA,1660.0,2026-09-08,2026-09-15
TANLA,1955.002335502676,2022-01-17,2026-09-15
TARC,269.95001220703125,2024-10-07,2026-09-15
TARIL,648.6309960120674,2025-01-08,2026-09-15
TATACAP,390.20001220703125,2026-08-06,2026-09-15
TATACHEM,1295.629844945412,2024-03-07,2026-09-15
TATACOMM,2123.6977648334987,2024-10-03,2026-09-15
TATACONSUM,1271.9371979227803,2026-05-12,2026-09-15
TATAELXSI,10270.776864767362,2022-08-17,2026-09-15
TATAINVEST,1178.621408861613,2025-10-03,2026-09-15
TATAPOWER,488.92500612472327,2024-09-27,2026-09-15
TATASTEEL,219.86575104195882,2026-05-15,2026-09-15
TATATECH,1344.531287188214,2023-11-30,2026-09-15
TBOTEK,2001.0,2024-09-04,2026-09-15
TCS,4266.478796182319,2024-08-30,2026-09-15
TDPOWERSYS,812.7999877929688,2026-09-11,2026-09-15
TECHM,1807.040094106148,2026-02-03,2026-09-15
TECHNOE,1797.8356002693565,2024-10-15,2026-09-15
TEGA,2323.9407751127032,2024-11-07,2026-09-15
TEJASNET,1489.645501732714,2024-06-27,2026-09-15
TENNIND,657.0,2026-05-06,2026-09-15
TEXRAIL,292.4250982013827,2024-07-12,2026-09-15
THANGAMAYL,7430.0,2026-07-28,2026-09-15
THELEELA,582.8499755859375,2026-08-31,2026-09-15
THERMAX,5792.823539575942,2024-07-08,2026-09-15
THOMASCOOK,261.2988258247932,2024-07-30,2026-09-15
THYROCARE,964.0036736215758,2020-11-14,2026-09-15
TI,594.5499877929688,2026-08-25,2026-09-15
TIINDIA,4798.416999069357,2024-10-23,2026-09-15
TIMETECHNO,255.42964127451833,2024-12-13,2026-09-15
TIMKEN,4761.746437396292,2024-06-18,2026-09-15
TIPSMUSIC,923.021773905333,2024-11-06,2026-09-15
TITAGARH,1893.6639530721843,2024-06-27,2026-09-15
TITAN,5186.7001953125,2026-08-27,2026-09-15
TMB,949.9500122070312,2026-09-04,2026-09-15
TMCV,503.3184101990195,2026-02-27,2026-09-15
TMPV,1159.3325649895592,2024-07-30,2026-09-15
TORNTPHARM,5250.0,2026-08-03,2026-09-15
TORNTPOWER,1980.1710863635483,2024-10-22,2026-09-15
TRANSRAILL,845.7662671990552,2025-08-13,2026-09-15
TRAVELFOOD,1459.2622453212896,2026-08-07,2026-09-15
TRENT,8327.87865512056,2024-10-14,2026-09-15
TRIDENT,65.86111284871541,2022-01-18,2026-09-15
TRITURBINE,871.5826716901253,2024-11-26,2026-09-15
TRIVENI,527.722626180965,2024-12-30,2026-09-15
TSFINV,684.5682054144123,2025-10-14,2026-09-15
TTML,290.1499938964844,2022-01-11,2026-09-15
TVSMOTOR,4484.5,2026-08-26,2026-09-15
TVSSCS,258.0,2023-09-11,2026-09-15
UBL,2271.7493232092643,2025-02-03,2026-09-15
UCOBANK,125.18462704542557,2010-11-22,2026-09-15
UJJIVANSFB,73.94000244140625,2026-08-20,2026-09-15
ULTRACEMCO,12847.756783521221,2026-02-10,2026-09-15
UNIONBANK,296.9325100798224,2010-10-27,2026-09-15
UNITDSPR,1664.7350614505358,2025-01-03,2026-09-15
UNOMINDA,1378.852549646065,2025-10-07,2026-09-15
UPL,813.5465698149617,2021-06-08,2026-09-15
URBANCO,201.17999267578125,2025-09-22,2026-09-15
USHAMART,529.2999877929688,2026-09-04,2026-09-15
UTIAMC,1389.7196042050416,2025-07-22,2026-09-15
UTLSOLAR,494.25,2026-08-20,2026-09-15
V2RETAIL,259.25,2026-06-04,2026-09-15
VAIBHAVGBL,946.767827798773,2021-05-10,2026-09-15
VARROC,1154.4713851673787,2018-09-03,2026-09-15
VBL,676.3680949688862,2024-07-29,2026-09-15
VEDL,795.0,2026-04-21,2026-09-15
VGUARD,572.4996554094328,2024-08-14,2026-09-15
VIJAYA,1578.0,2026-09-09,2026-09-15
VIKRAMSOLR,407.95001220703125,2025-09-10,2026-09-15
VIPIND,766.8834147035462,2022-03-31,2026-09-15
VIYASH,335.7623718551735,2021-06-29,2026-09-15
VMART,1210.275601392619,2021-11-11,2026-09-15
VMM,157.60000610351562,2025-08-26,2026-09-15
VOLTAMP,14487.507348560275,2024-08-28,2026-09-15
VOLTAS,1928.0467184259348,2024-09-20,2026-09-15
VTL,682.2146139481268,2026-07-06,2026-09-15
WAAREEENER,3859.8011189678027,2025-09-12,2026-09-15
WAAREERTL,1358.0,2025-10-27,2026-09-15
WABAG,2319.0,2026-09-11,2026-09-15
WAKEFIT,224.0,2026-02-12,2026-09-15
WEBELSOLAR,186.5,2024-12-26,2026-09-15
WELCORP,2784.800048828125,2026-09-10,2026-09-15
WELENT,825.0,2026-09-04,2026-09-15
WELSPUNLIV,216.0,2026-09-07,2026-09-15
WESTLIFE,1023.1739555344438,2023-09-08,2026-09-15
WEWORK,794.5,2026-08-06,2026-09-15
WHIRLPOOL,2729.1283460456125,2021-01-22,2026-09-15
WIPRO,337.9141783812601,2021-10-14,2026-09-15
WOCKPHARMA,2422.300048828125,2026-06-01,2026-09-15
YATHARTH,1024.8499755859375,2026-08-28,2026-09-15
YESBANK,398.53313868178935,2018-08-20,2026-09-15
ZAGGLE,591.9000244140625,2024-12-11,2026-09-15
ZEEL,563.2078874980479,2018-01-29,2026-09-15
ZENSARTECH,945.7925799070357,2025-02-01,2026-09-15
ZENTEC,2621.92980187102,2024-12-24,2026-09-15
ZFCVINDIA,3038.7327548607846,2026-06-24,2026-09-15
ZYDUSLIFE,1308.1259512250513,2024-08-09,2026-09-15
ZYDUSWELL,611.8499755859375,2026-07-20,2026-09-15
